위도,경도,기관명
35.84798669,128.5326742,광산한의원
35.81433551,128.5357022,금강한의원
35.84320817,128.5489815,금성한의원
35.80079285,128.5326901,금송한의원
35.8115427,128.5374207,금조한의원
35.81147593,128.5382391,길상한의원
35.85512544,128.5055745,김기호한의원
35.82555017,128.5271008,김민부한의원
35.82753343,128.5311094,김인섭한의원
35.85653154,128.5076982,김종봉한의원
35.85505086,128.5511115,노한의원
35.80695534,128.5373233,다정한의원
35.85125915,128.5076091,달구벌한의원
35.85373328,128.5475374,대건한의원
35.81891491,128.5212469,대구경희한의원
35.85400877,128.5464211,대나무한의원
35.82358041,128.5343036,대선한의원
35.83751787,128.5496174,대송한의원
35.795368,128.549434,대활한의원
35.85508798,128.5059064,더나은365한의원
35.8064448,128.5353843,더나은365한의원 대곡도원점
35.85448216,128.5473654,더조은와이한의원
35.8577651,128.5308687,더편한한의원
35.85514989,128.5530941,도규한의원
35.83547125,128.5556136,도옴한의원
35.850369,128.536089,도해한의원
35.86160717,128.5714972,동인당한의원
35.81640671,128.5300392,동인두한의원
35.85275448,128.5407772,동일한의원
35.84385212,128.5321041,동화당한의원
35.82199274,128.5485694,드림부부한의원
35.84533631,128.5448116,류정화한의원
35.84696524,128.5453542,마디와맵시효도한의원
35.80704047,128.5364276,만수한의원
35.82115374,128.5286764,맘편한윤호준한의원
35.81519129,128.5438194,명문당한의원
35.85393449,128.5185095,명선한의원
35.84087668,128.5443825,명성한의원
35.85854583,128.5213851,명인한의원
35.81758446,128.5327472,미올한의원
35.83032758,128.531106,바로한의원
35.81758446,128.5327472,바른손한의원
35.84087668,128.5443825,박성후한의원
35.81330797,128.5456988,백천침구과한의원
35.83736517,128.5514649,벧엘한의원
35.84280755,128.5339126,보광한의원
35.85441973,128.5472211,보람한의원
35.81728008,128.5322804,보명한의원
35.85241525,128.5420481,보생조한의원
35.85136854,128.5732946,보성한의원
35.84334216,128.5312483,본한의원
35.80796401,128.5354933,비비통김근모한의원
35.821599,128.5207763,빌리브한의원
35.85259855,128.4777916,삼성한의원
35.85639614,128.5545199,삼주한의원
35.85602404,128.4954385,상원한의원
35.81910639,128.5370845,상인월드연합한의원
35.81834314,128.5344233,상인청담한의원
35.821666,128.533401,상인탑한의원
35.85365234,128.5455219,서남한의원
35.850369,128.536089,서재한의원
35.82552669,128.5464356,서진한의원
35.85508885,128.5078329,석한의원
35.82176054,128.5280164,선재한의원
35.80861844,128.5521729,성심한의원
35.8230914,128.5468062,성원한의원
35.85979242,128.5645419,성제국한의원
35.85159523,128.5479544,성주한의원
35.82651348,128.5314346,세도나한의원
35.8267242,128.5481327,세인한의원
