연번,업소명,업태,업소주소
126,고본,일식,대구광역시 중구 동덕로14길 29(1층 대봉동)
127,고봉민김밥 남산점,김밥(도시락),대구광역시 중구 달구벌대로 1950(남산동)
128,고봉식당,한식,"대구광역시 중구 서성로 47-1(서문로2가, 지상1층)"
129,고불,분식,"대구광역시 중구 중앙대로66길 20(남산동, 탑마트내 푸트코트 지하1층)"
130,고불,한식,대구광역시 중구 동성로1길 29-23(동성로3가)
131,고성1,한식,대구광역시 중구 동성로12길 7-3(1-2층 동문동)
132,고숩,한식,대구광역시 중구 경상감영1길 6(전동)
133,고스트북스,분식,"대구광역시 중구 경상감영길 212(동문동, 지상3층)"
134,고쌈면 삼덕점,한식,대구광역시 중구 달구벌대로443길 49(삼덕동2가)
135,고영희식당,한식,"대구광역시 중구 달구벌대로 2109-10(덕산동, 지상1층)"
136,고운라멘,일식,"대구광역시 중구 국채보상로131길 55(101동 상가4호 동인동1가, 시티타운아파트)"
137,고운라멘 동성로점,한식,대구광역시 중구 동성로3길 20(214호 삼덕동1가)
138,고전 한정식,한식,대구광역시 중구 동덕로 112-1(1층 삼덕동2가)
139,고점,한식,대구광역시 중구 남성로 21(지상1층 남성로)
140,고즈넉,일식,대구광역시 중구 국채보상로 631(1층 공평동)
141,고집센그집갈비탕,한식,대구광역시 중구 달구벌대로 2197-10(지상1층 삼덕동2가)
142,고쿠고쿠,일식,대구광역시 중구 동덕로36길 21(지상1층 동인동1가)
143,고투웍 대구동성로점,중국식,대구광역시 중구 중앙대로 383(동성로3가)
144,고향뜰,한식,대구광역시 중구 약령길 78-2(1층 수동)
145,고향맛집,한식,대구광역시 중구 명륜로6길 7-8(남산동)
146,고향분식,분식,대구광역시 중구 동성로4길 40-11(지상1층 삼덕동1가)
147,고향석쇠포차,한식,"대구광역시 중구 대봉로 189(대봉동, 지상1층)"
148,고향집감자탕,한식,"대구광역시 중구 명덕로35길 103(남산동, 지상1층)"
149,고향함바식당,한식,대구광역시 중구 명덕로 209(1층 남산동)
150,곡주사,한식,대구광역시 중구 종로 8-1(덕산동)
151,곤드레밥,한식,"대구광역시 중구 큰장로26길 25(대신동, 서문지장2지구 지1층 동 58호)"
152,곤지암할매소머리국밥,한식,"대구광역시 중구 명륜로 149(봉산동, 지상1층)"
153,골드바,정종/대포집/소주방,대구광역시 중구 경상감영길 206(1층 동문동)
154,골목대장,식육(숯불구이),대구광역시 중구 공평로8길 18(삼덕동2가)
155,골목식당,한식,대구광역시 중구 동덕로6길 13-5(대봉동)
156,골목집,한식,대구광역시 중구 국채보상로139길 39-11(1층 동인동1가)
157,골목카페,경양식,"대구광역시 중구 공평로20길 51-34(동인동1가, 지상1층)"
158,골목카페,기타,대구광역시 중구 명륜로11길 35-14(2층 남산동)
159,골목포차,한식,"대구광역시 중구 동성로4길 40-6(삼덕동1가, 지상1층)"
160,곰자딩,한식,"대구광역시 중구 중앙대로 412-16(사일동, ,중앙대로 412-22)"
